
 num     #instances         #bytes  class name
 113:           440          10560  sun.reflect.NativeConstructorAccessorImpl
 114:           186          10416  java.util.concurrent.ConcurrentHashMap$KeyIterator
 115:           427          10248  jdk.internal.org.objectweb.asm.ByteVector
 116:           213          10224  java.net.NetworkInterface
 117:           180          10080  java.util.ResourceBundle$CacheKey
 118:           248           9920  java.util.HashMap$KeyIterator
 119:           309           9888  java.lang.reflect.Proxy$Key1
 120:           618           9888  java.util.LinkedHashSet
 121:           614           9824  java.util.LinkedHashMap$LinkedKeySet
 122:           408           9792  sun.reflect.generics.scope.ClassScope
 123:           402           9664  [Lorg.springframework.util.ConcurrentReferenceHashMap$TaskOption;
 124:           588           9408  org.springframework.core.ResolvableType$DefaultVariableResolver
 125:           124           8928  org.springframework.core.annotation.AnnotationTypeMapping
 126:           217           8680  java.io.ObjectStreamField
 127:           180           8640  java.util.logging.LogManager$LoggerWeakRef
 128:           535           8560  java.util.LinkedHashMap$LinkedValues
 129:           175           8400  java.util.WeakHashMap
 130:           520           8320  java.lang.Short
 131:            22           8272  java.lang.Thread
 132:           168           8064  java.util.ResourceBundle$BundleReference
 133:           124           7936  java.util.jar.JarFile
 134:           329           7896  sun.reflect.generics.visitor.Reifier
 135:           246           7872  sun.misc.URLClassPath$JarLoader$2
 136:           138           7728  sun.nio.cs.UTF_8$Encoder
 137:           234           7488  java.util.LinkedHashMap$LinkedValueIterator
 138:           312           7488  org.springframework.beans.BeanMetadataAttribute
 139:           305           7320  org.apache.commons.logging.LogAdapter$Slf4jLocationAwareLog
 140:           451           7216  sun.reflect.DelegatingConstructorAccessorImpl
 141:           299           7176  java.lang.StringBuffer
 142:           149           7152  java.lang.invoke.LambdaForm
 143:           223           7136  java.io.ObjectStreamClass$WeakClassKey
 144:           297           7128  java.util.concurrent.ConcurrentHashMap$MapEntry
 145:           295           7080  sun.reflect.generics.parser.SignatureParser
 146:           161           7072  [Ljava.lang.invoke.LambdaForm$Name;
 147:           219           7008  java.lang.reflect.WeakCache$CacheKey
 148:           291           6984  org.springframework.core.convert.converter.GenericConverter$ConvertiblePair
 149:            67           6968  java.lang.invoke.InnerClassLambdaMetafactory
 150:           421           6736  java.util.concurrent.CopyOnWriteArraySet
 151:           421           6736  org.springframework.beans.factory.support.MethodOverrides
 152:           209           6688  java.util.Vector
 153:           117           6552  java.lang.invoke.MethodTypeForm
 154:           268           6432  org.springframework.core.SimpleAliasRegistry$$Lambda$256/712627377
 155:            88           6336  java.util.logging.Logger
 156:           132           6336  java.util.zip.Inflater
 157:           261           6264  sun.reflect.annotation.AnnotationParser$1
 158:           258           6192  com.fasterxml.jackson.databind.type.ClassKey
 159:           127           6096  java.util.Hashtable
 160:           152           6080  java.security.ProtectionDomain
 161:           108           6048  org.springframework.core.type.classreading.SimpleAnnotationMetadata
 162:           187           5984  java.lang.invoke.BoundMethodHandle$Species_L
 163:           247           5928  java.util.Collections$UnmodifiableRandomAccessList
 164:           180           5760  java.util.ResourceBundle$LoaderReference
 165:           173           5536  org.springframework.core.SerializableTypeWrapper$MethodParameterTypeProvider
 166:           137           5480  java.util.HashMap$ValueIterator
 167:           136           5440  org.springframework.boot.context.properties.source.ConfigurationPropertyName$ElementsParser
 168:           220           5280  org.springframework.boot.autoconfigure.condition.ConditionEvaluationReport$ConditionAndOutcome
 169:           220           5280  org.springframework.boot.autoconfigure.condition.ConditionOutcome
 170:           216           5184  java.util.Arrays$ArrayList
 171:           156           4992  java.util.Collections$UnmodifiableMap
 172:            88           4928  jdk.internal.org.objectweb.asm.AnnotationWriter
 173:           151           4832  java.util.AbstractList$Itr
 174:           201           4824  sun.reflect.generics.reflectiveObjects.ParameterizedTypeImpl
 175:           200           4800  javax.management.ImmutableDescriptor
 176:           269           4784  [Ljava.net.InetAddress;
 177:           148           4736  java.util.logging.LogManager$LogNode
 178:           293           4688  org.springframework.core.annotation.AnnotationTypeMappings$$Lambda$154/1212772528
 179:           292           4672  java.util.Collections$UnmodifiableSet
 180:            83           4648  sun.misc.URLClassPath$JarLoader
 181:           193           4632  java.util.Collections$1
 182:            12           4608  org.apache.tomcat.util.threads.TaskThread
 183:            94           4512  java.io.ObjectInputStream$FilterValues
 184:            40           4480  org.springframework.beans.factory.annotation.AnnotatedGenericBeanDefinition
 185:           280           4480  org.springframework.core.convert.support.GenericConversionService$ConvertersForPair
 186:            62           4464  sun.reflect.DelegatingClassLoader
 187:           184           4416  java.util.ArrayDeque
 188:           163           4376  [Lorg.springframework.core.annotation.AnnotationTypeMappings;
 189:           162           4352  [Lorg.springframework.core.annotation.MergedAnnotation;
 190:           136           4352  java.util.zip.ZipCoder
 191:           216           4320  [Ljava.net.NetworkInterface;
 192:           180           4320  sun.reflect.NativeMethodAccessorImpl
 193:           132           4224  com.sun.jmx.mbeanserver.ConvertingMethod
 194:           176           4224  org.springframework.boot.web.server.MimeMappings$Mapping
 195:           131           4192  sun.reflect.generics.repository.ClassRepository
 196:           174           4176  java.lang.invoke.LambdaForm$NamedFunction
 197:           143           4128  [Ljavax.management.ObjectName$Property;
 198:           256           4096  java.lang.Byte
 199:           100           4000  java.io.FileDescriptor
 200:            62           3968  jdk.internal.org.objectweb.asm.FieldWriter
 201:           246           3936  sun.net.www.ParseUtil
 202:           162           3888  org.springframework.core.annotation.MergedAnnotationsCollection
 203:            96           3840  java.io.ObjectStreamClass$FieldReflectorKey
 204:           157           3768  java.util.Collections$SingletonList
 205:           156           3744  java.lang.invoke.MethodHandles$Lookup
 206:           140           3688  [Lorg.springframework.core.annotation.AnnotationTypeMapping$MirrorSets$MirrorSet;
 207:           115           3680  java.lang.invoke.DirectMethodHandle$Special
 208:            92           3680  java.math.BigInteger
 209:            46           3680  org.springframework.beans.BeanWrapperImpl
 210:           213           3648  [Ljava.net.InterfaceAddress;
 211:           227           3632  com.sun.proxy.$Proxy30
 212:            52           3584  [Ljava.io.ObjectInputStream$HandleTable$HandleList;
 213:           149           3576  java.io.ExpiringCache$Entry
 214:           221           3536  org.springframework.boot.autoconfigure.condition.ConditionMessage
 215:           108           3456  org.springframework.core.convert.support.GenericConversionService$ConverterAdapter
 216:           107           3424  java.io.DataOutputStream
 217:           142           3408  java.time.Instant
 218:           157           3400  [Lsun.reflect.generics.tree.FieldTypeSignature;
 219:            85           3400  java.lang.reflect.Parameter
 220:           140           3360  javax.management.ObjectName$Property
 221:            83           3320  java.util.HashMap$EntryIterator
 222:           124           3312  [Lorg.springframework.core.annotation.AnnotationTypeMapping;
 223:           103           3296  java.rmi.server.UID
 224:           134           3216  org.springframework.boot.autoconfigure.condition.ConditionEvaluationReport$$Lambda$465/1921553024
 225:            40           3200  [Lorg.springframework.util.ConcurrentReferenceHashMap$Segment;
 226:            57           3192  java.beans.MethodDescriptor
 227:            66           3168  java.util.TreeMap
 228:           132           3168  java.util.zip.ZStreamRef
 229:           197           3152  org.springframework.boot.autoconfigure.condition.ConditionEvaluationReport$ConditionAndOutcomes
 230:           131           3144  sun.reflect.generics.tree.ClassSignature
 231:           176           3136  [Lsun.reflect.generics.tree.FormalTypeParameter;
 232:           195           3120  sun.reflect.DelegatingMethodAccessorImpl
 233:            33           3072  [Ljava.lang.invoke.MethodHandle;
 234:            94           3008  java.lang.ThreadLocal$ThreadLocalMap$Entry
 235:           125           3000  org.springframework.beans.MutablePropertyValues
 236:           131           2984  [Lsun.reflect.generics.tree.ClassTypeSignature;
 237:           124           2976  org.springframework.core.annotation.AnnotationTypeMapping$MirrorSets
 238:            93           2976  org.springframework.core.type.classreading.SimpleMethodMetadata
 239:            93           2976  org.springframework.core.type.classreading.SimpleMethodMetadataReadingVisitor$Source
 240:            15           2944  [Lorg.springframework.boot.context.properties.source.ConfigurationPropertyName;
 241:            91           2912  java.lang.NoSuchMethodException
 242:            33           2904  sun.rmi.transport.ConnectionInputStream
 243:            45           2880  javax.management.openmbean.OpenMBeanAttributeInfoSupport
 244:           141           2848  [Ljava.lang.reflect.TypeVariable;
 245:            70           2800  java.security.AccessControlContext
 246:            87           2784  org.springframework.beans.factory.annotation.InitDestroyAnnotationBeanPostProcessor$$Lambda$243/314411620
 247:           115           2760  org.springframework.core.io.ClassPathResource
 248:            86           2752  java.util.LinkedHashMap$LinkedEntryIterator
 249:           113           2712  java.beans.MethodRef
 250:            67           2680  sun.nio.cs.UTF_8$Decoder
 251:            55           2672  [Ljavax.management.MBeanAttributeInfo;
 252:            66           2640  java.io.ObjectOutputStream$HandleTable
 253:            66           2640  javax.management.ObjectName
 254:           139           2608  [Lcom.sun.jmx.mbeanserver.MXBeanMapping;
 255:            36           2592  java.util.regex.Pattern
 256:           108           2592  org.springframework.core.type.classreading.SimpleMetadataReader
 257:           161           2576  org.springframework.boot.context.properties.source.SpringIterableConfigurationPropertySource$$Lambda$46/192794887
 258:           161           2576  org.springframework.boot.context.properties.source.SpringIterableConfigurationPropertySource$$Lambda$47/1391942103
 259:            80           2560  java.net.InetAddress$InetAddressHolder
 260:            40           2560  org.springframework.beans.factory.config.DependencyDescriptor
 261:           106           2544  org.springframework.beans.TypeConverterDelegate
 262:            82           2528  [Ljava.security.ProtectionDomain;
 263:            79           2528  java.io.FileInputStream
 264:            52           2496  javax.management.MBeanInfo
 265:            90           2480  [Ljava.io.ObjectStreamField;
 266:           152           2432  [Ljava.security.Principal;
 267:           152           2432  java.security.ProtectionDomain$Key
 268:            75           2400  org.apache.catalina.util.ManifestResource
 269:            33           2376  sun.rmi.transport.ConnectionOutputStream
 270:            41           2296  java.util.concurrent.ConcurrentHashMap$EntryIterator
 271:            45           2248  [J
 272:           108           2240  [Lorg.springframework.core.type.MethodMetadata;
 273:            93           2232  org.apache.catalina.LifecycleEvent
 274:            55           2200  org.springframework.core.io.ResourceEditor
 275:            89           2136  org.apache.commons.logging.impl.WeakHashtable$Referenced
 276:            38           2128  java.io.ObjectInputStream$BlockDataInputStream
 277:            66           2112  java.util.concurrent.ConcurrentHashMap$ReservationNode
 278:            88           2112  org.springframework.beans.factory.annotation.AutowiredAnnotationBeanPostProcessor$$Lambda$246/1446001495
 279:            88           2112  org.springframework.beans.factory.annotation.AutowiredAnnotationBeanPostProcessor$$Lambda$247/1261044180
 280:            88           2112  org.springframework.context.annotation.CommonAnnotationBeanPostProcessor$$Lambda$244/980364771
 281:            88           2112  org.springframework.context.annotation.CommonAnnotationBeanPostProcessor$$Lambda$245/1233595751
 282:            44           2112  sun.util.locale.LocaleObjectCache$CacheEntry
 283:           129           2064  sun.misc.ProxyGenerator$ConstantPool$ValueEntry
 284:            64           2048  [Lcom.sun.org.apache.xalan.internal.utils.XMLSecurityManager$NameMap;
 285:           128           2048  java.lang.Character
 286:           128           2048  java.time.Clock$SystemClock
 287:           127           2032  org.springframework.boot.context.properties.source.SpringIterableConfigurationPropertySource$$Lambda$48/422392391
 288:            36           2016  [Lcom.sun.org.apache.xalan.internal.utils.XMLSecurityManager$Limit;
 289:            63           2016  javax.management.MBeanAttributeInfo
 290:            84           2016  org.springframework.context.event.GenericApplicationListenerAdapter
 291:            50           2000  org.springframework.core.io.support.ResourceArrayPropertyEditor
 292:            61           1952  org.springframework.asm.Type
 293:            81           1944  java.util.regex.Pattern$1
 294:            48           1920  java.util.IdentityHashMap
 295:            34           1904  org.springframework.core.ResolvableType$1
 296:            46           1840  org.springframework.core.log.CompositeLog
 297:            85           1800  [Lorg.apache.catalina.Container;
 298:            37           1776  java.util.Hashtable$Enumerator
 299:            55           1760  java.security.Permissions
 300:            68           1744  [Ljava.lang.reflect.Parameter;
 301:            54           1728  java.lang.reflect.WeakCache$CacheValue
 302:            43           1720  sun.reflect.generics.repository.MethodRepository
 303:           107           1712  java.util.LinkedHashMap$LinkedEntrySet
 304:            70           1680  java.io.ObjectStreamClass$ClassDataSlot
 305:            16           1664  org.springframework.beans.factory.support.GenericBeanDefinition
 306:            69           1656  java.security.Provider$ServiceKey
 307:            23           1656  org.springframework.core.annotation.AnnotationAttributes
 308:            51           1632  java.net.NetworkInterface$1checkedAddresses
 309:             3           1616  [[B
 310:            67           1608  java.lang.invoke.ConstantCallSite
 311:            67           1608  java.lang.invoke.InfoFromMemberName
 312:            67           1608  java.lang.invoke.InnerClassLambdaMetafactory$ForwardingMethodGenerator
 313:            40           1600  java.lang.invoke.DirectMethodHandle$Interface
 314:            50           1600  org.springframework.beans.propertyeditors.ClassArrayEditor
 315:            50           1600  org.springframework.beans.propertyeditors.ClassEditor
 316:            50           1600  org.springframework.beans.propertyeditors.FileEditor
 317:            50           1600  org.springframework.beans.propertyeditors.InputSourceEditor
 318:            50           1600  org.springframework.beans.propertyeditors.InputStreamEditor
 319:            50           1600  org.springframework.beans.propertyeditors.PathEditor
 320:            50           1600  org.springframework.beans.propertyeditors.ReaderEditor
 321:            50           1600  org.springframework.beans.propertyeditors.URIEditor
 322:            50           1600  org.springframework.beans.propertyeditors.URLEditor
 323:            50           1600  org.springframework.http.MediaType
 324:            40           1600  org.springframework.util.ConcurrentReferenceHashMap
 325:            40           1600  sun.management.DiagnosticCommandArgumentInfo
 326:            66           1584  java.util.regex.Pattern$GroupHead
 327:            66           1584  java.util.regex.Pattern$GroupTail
 328:            98           1568  com.sun.org.apache.xalan.internal.utils.SecuritySupport$4
 329:            28           1568  org.apache.tomcat.util.res.StringManager$1
 330:            65           1560  org.springframework.cglib.core.Signature
 331:            97           1552  org.springframework.core.MethodParameter$$Lambda$175/1825738663
 332:            48           1536  sun.reflect.annotation.AnnotationType
 333:            27           1512  java.security.Provider$Service
 334:            63           1512  org.springframework.core.annotation.AnnotationTypeMappings
 335:            63           1512  sun.rmi.transport.ObjectEndpoint
 336:            61           1488  [Ljava.io.ObjectStreamClass$ClassDataSlot;
